"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Canada","CAN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1998.63427734375","2054.40869140625","2150.88671875","2551.52221679688","2913.39477539063","3282.90478515625","3767.27490234375","4190.35302734375","4453.64599609375","4347.73193359375","5044.13525390625","5361.23828125","5408.9306640625","5345.318359375","5081.55908203125","4539.1396484375","4518.13623046875","4754.94775390625","","","",
"Central Europe and the Baltics","CEB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221.140526962227","252.175946610743","298.232475806977","372.941280916286","446.736799261567","522.503619439825","580.023553088694","729.911684029813","926.98506821991","841.597358026184","854.949639863427","906.510434101761","850.654950901755","918.020503434062","934.642663631901","815.514908902229","848.226076796877","934.008050740366","","","",
"Switzerland","CHE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3737.80297851563","3957.17236328125","4420.57421875","5277.37890625","5889.84423828125","5964.7265625","5900.513671875","6401.8076171875","7411.2060546875","7599.47265625","8021.8095703125","9572.171875","9286.5498046875","9689.6748046875","10014.708984375","9807.798828125","9835.9638671875","9956.259765625","","","",
"Channel Islands","CHI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.825408935547","328.638854980469","324.323852539063","351.097839355469","428.619171142578","501.750732421875","572.416381835938","650.07421875","726.715698242188","738.46044921875","871.263427734375","995.838317871094","1083.46166992188","1186.80249023438","1154.84826660156","1140.134765625","1190.54858398438","1381.98620605469","","","",
"China","CHN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3536758422852","43.9407615661621","49.4710960388184","56.032772064209","63.6989974975586","72.3621139526367","81.7903518676758","97.7469253540039","132.785308837891","163.712188720703","187.733474731445","237.933624267578","283.522186279297","328.184906005859","361.724426269531","392.846038818359","398.331573486328","440.825622558594","","","",
"Cote d'Ivoire","CIV","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9691619873047","31.490743637085","31.2505664825439","39.3176765441895","47.4128608703613","49.2683982849121","54.7964859008789","67.0728073120117","78.4557037353516","75.2227935791016","74.4494400024414","74.6667175292969","76.5480194091797","73.1418228149414","80.8378601074219","63.3988952636719","67.5706939697266","69.7492446899414","","","",
"Cameroon","CMR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2911739349365","27.6791877746582","31.3229312896729","38.8950691223145","41.6311187744141","42.6651611328125","44.3648490905762","50.578296661377","61.4511451721191","57.9694328308105","58.9617767333984","48.5914611816406","62.7030487060547","67.2660903930664","71.2424392700195","63.6279907226563","65.1211853027344","67.8118133544922","","","",
"Congo, Dem. Rep.","COD","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1625080108643","6.0918173789978","4.69065093994141","6.68224334716797","8.62548065185547","9.34108734130859","11.2668685913086","12.4393491744995","16.3550090789795","13.5901708602905","12.857647895813","12.6419105529785","14.2510690689087","16.3366203308105","19.382999420166","19.8849487304688","20.6037197113037","19.4316463470459","","","",
"Congo, Rep.","COG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9087028503418","20.0214366912842","16.6305065155029","21.1186122894287","27.1476058959961","30.709228515625","35.8638343811035","41.9557838439941","63.133129119873","48.7714614868164","55.4484443664551","60.713077545166","72.9281845092773","73.4360275268555","72.4625930786133","58.4486198425293","52.9479827880859","49.9837226867676","","","",
"Colombia","COL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130.334243774414","134.167739868164","128.238403320313","125.976737976074","155.184844970703","204.106033325195","233.585052490234","301.598846435547","369.035339355469","374.126800537109","441.301788330078","489.407684326172","533.736206054688","585.806396484375","569.897277832031","444.063568115234","419.335205078125","459.197570800781","","","",
"Comoros","COM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5663299560547","43.2992706298828","48.3281707763672","57.4499893188477","62.6150817871094","62.385669708252","62.4379501342773","67.6960525512695","72.4129638671875","68.1039123535156","67.0879745483398","78.6099090576172","65.2714462280273","68.8652267456055","68.4165649414063","58.1783332824707","57.5402717590332","58.760929107666","","","",
"Cabo Verde","CPV","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0360336303711","65.9323120117188","71.4061965942383","87.0982131958008","95.7708740234375","98.2250137329102","115.46809387207","130.296951293945","130.286804199219","132.601486206055","148.232528686523","158.114593505859","173.97282409668","188.209106445313","188.210739135742","144.382888793945","149.276519775391","167.589614868164","","","",
"Costa Rica","CRI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251.09358215332","258.784820556641","280.276733398438","291.736297607422","294.690368652344","314.472381591797","365.585632324219","430.478240966797","519.345153808594","538.442626953125","665.251403808594","754.959106445313","790.193359375","831.655212402344","837.90869140625","891.260559082031","886.501342773438","869.077758789063","","","",
"Caribbean small states","CSS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257.697679023449","251.390625992755","272.794016060191","282.639236795271","327.4210068331","352.786009841321","390.655128302396","439.982245506043","479.921190899248","463.907804766064","488.220792812296","507.623552567575","528.374605975309","546.993037031264","548.418486511094","575.981556726452","570.293250367009","582.671927003548","","","",
"Cuba","CUB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.417098999023","197.746200561523","213.041793823242","226.773849487305","231.646530151367","330.866058349609","386.220336914063","568.609008789063","608.303588867188","674.108642578125","606.670715332031","692.562683105469","597.574584960938","705.151306152344","856.016906738281","974.969543457031","972.758544921875","987.627014160156","","","",
"Curacao","CUW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750.516723632813","782.16162109375","890.482971191406","1145.05847167969","1286.97155761719","1366.01708984375","1474.02062988281","1694.27185058594","2155.24658203125","2105.47778320313","1959.28723144531","2153.42724609375","1943.19396972656","1919.60546875","1846.17736816406","1582.10888671875","1636.82104492188","1731.69445800781","","","",
"Czech Republic","CZE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342.921051025391","388.544036865234","497.742034912109","640.660400390625","746.328918457031","852.652465820313","942.118041992188","1110.17663574219","1449.33679199219","1442.24279785156","1373.93176269531","1516.55541992188","1387.40600585938","1554.50903320313","1512.92614746094","1284.04675292969","1321.62023925781","1475.91516113281","","","",
"Germany","DEU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2334.65185546875","2341.0712890625","2551.56811523438","3138.26123046875","3443.54541015625","3547.22534179688","3684.42626953125","4166.7607421875","4635.93408203125","4643.0029296875","4597.24462890625","5021.630859375","4754.65576171875","5094.416015625","5290.72216796875","4617.49072265625","4734.18310546875","5033.4521484375","","","",
"Djibouti","DJI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9579849243164","31.0551376342773","40.2333335876465","46.1757125854492","40.3325347900391","40.9596252441406","47.2321701049805","50.2016830444336","53.5312423706055","54.7246589660645","55.4785118103027","67.8043670654297","71.1509475708008","66.5260620117188","72.0434341430664","81.7290954589844","75.1489334106445","70.3308944702148","","","",
"Dominica","DMA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250.745529174805","260.807250976563","259.664184570313","261.767852783203","267.563903808594","269.753692626953","288.062866210938","318.696899414063","352.494842529297","385.17333984375","384.918304443359","372.734741210938","393.109344482422","371.908721923828","396.345275878906","395.864410400391","411.9638671875","439.594451904297","","","",
"Denmark","DNK","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2496.04711914063","2602.64282226563","2895.80737304688","3607.04296875","4194.87353515625","4442.75537109375","4778.8916015625","5468.37939453125","6137.7763671875","6221.68896484375","6011.53662109375","6281.00439453125","6003.83203125","6236.55419921875","6380.7841796875","5469.333984375","5565.59375","5800.1513671875","","","",
"Dominican Republic","DOM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.644592285156","143.70703125","153.211242675781","104.748558044434","105.144035339355","168.629196166992","161.427307128906","194.623657226563","235.959243774414","251.344497680664","303.604461669922","327.855499267578","351.674682617188","351.419555664063","371.285308837891","391.002655029297","414.297088623047","433.208587646484","","","",
"Algeria","DZA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3028907775879","66.5047302246094","66.1726684570313","75.4176025390625","92.1150588989258","100.294158935547","116.241233825684","150.379806518555","206.113052368164","207.34602355957","228.399520874023","286.152008056641","333.936645507813","330.2236328125","357.898590087891","290.503601074219","260.422393798828","258.494293212891","","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0861296566887","39.2411545291991","43.7864046825492","50.0185687934071","56.2685342300895","64.6126645021528","74.1985706210739","88.8069154976172","116.150650823231","138.040173425745","160.445231652592","199.590249476216","233.324653737427","265.289425657827","288.891901631842","308.213901523844","313.701251176104","344.273677286342","","","",
"Early-demographic dividend","EAR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2331293808452","67.4868927805451","61.2111825006839","67.5174729938616","76.367069758524","87.0250234390941","97.8192631074914","113.219465393641","124.673378031432","126.700494070265","145.256429091491","158.418764225452","164.963867957679","169.938891709762","170.68587218849","167.418474844388","160.743483580982","169.716268119907","","","",
"East Asia & Pacific","EAS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.228099342439","222.660379101836","224.471399589333","251.898770783006","278.452028622756","292.308025329231","298.21923971594","322.417652291679","375.175669388943","420.428547690114","479.207080177359","587.847715048103","627.631180079405","605.713378992709","615.1413403322","601.862139272607","635.292108730203","671.079956165229","","","",
"Europe & Central Asia (excluding high income)","ECA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.6227504938005","96.7577851977383","115.913247997011","143.253871772773","181.678943466547","229.346514302385","281.254770897264","355.611843007533","442.212602906337","382.603244786782","416.82632546327","474.095306153232","511.22728854574","547.011063670189","503.735522412771","381.034232866799","366.127549338983","410.185185436188","","","",
"Europe & Central Asia","ECS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917.668240451367","948.520622730383","1066.13153624401","1326.45258369576","1539.70833964598","1634.72191222186","1750.40169799556","2013.11376986104","2253.5740062874","2165.06328210957","2152.74521261551","2333.42280318153","2237.03169478319","2387.50772490373","2433.88863755281","2105.06234235845","2101.78450348731","2192.44307690792","","","",
